,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-07-02 04:00:00+00:00,26.72,,71.78,,32.52,,105.99,,83.23,
2018-07-03 04:00:00+00:00,26.46,-0.009730538922155585,71.56,-0.0030649205906937427,32.71,0.005842558425584121,106.21,0.0020756675158033477,83.26,0.00036044695422332573
2018-07-05 04:00:00+00:00,26.53,0.002645502645502562,71.89,0.004611514812744577,33.14,0.013145826964231055,106.31,0.0009415309292910568,83.25,-0.0001201056930099087
2018-07-06 04:00:00+00:00,26.67,0.005277044854881341,72.16,0.0037557379329531404,33.28,0.004224502112251116,106.42,0.0010347098109302344,83.27,0.00024024024024016377
2018-07-09 04:00:00+00:00,27.29,0.023247094113235667,73.48,0.018292682926829285,32.97,-0.009314903846153966,106.32,-0.0009396729937982684,83.22,-0.0006004563468235968
2018-07-10 04:00:00+00:00,27.19,-0.003664345914254241,73.73,0.0034022863364180367,33.13,0.004852896572641985,106.24,-0.0007524454477050302,83.21,-0.00012016342225429355
2018-07-11 04:00:00+00:00,27.04,-0.0055167340934167974,72.54,-0.016139970161399675,33.03,-0.003018412315122343,106.28,0.0003765060240963347,83.24,0.0003605335897127748
2018-07-12 04:00:00+00:00,27.1,0.002218934911242698,73.34,0.0110283981251722,33.11,0.0024220405691794955,106.41,0.001223184042152825,83.23,-0.00012013455069670442
2018-07-13 04:00:00+00:00,26.97,-0.004797047970479751,73.75,0.005590400872647949,33.0,-0.0033222591362126463,106.51,0.0009397613006296712,83.25,0.00024029796948221716
2018-07-16 04:00:00+00:00,27.45,0.017797552836485098,73.45,-0.004067796610169427,32.81,-0.005757575757575739,106.39,-0.001126654774199598,83.23,-0.00024024024024016377
2018-07-17 04:00:00+00:00,27.49,0.0014571948998178819,73.74,0.003948264125255063,32.6,-0.0064004876562023805,106.35,-0.0003759751856378113,83.215,-0.00018022347711166287
2018-07-18 04:00:00+00:00,27.93,0.01600582029829023,74.55,0.010984540276647747,32.48,-0.0036809815950921143,106.32,-0.00028208744710866984,83.21,-6.0085321156200244e-05
2018-07-19 04:00:00+00:00,27.51,-0.015037593984962294,74.52,-0.0004024144869215762,32.79,0.00954433497536944,106.48,0.0015048908954102824,83.25,0.00048071145295036644
2018-07-20 04:00:00+00:00,27.56,0.0018175209014903437,74.44,-0.0010735373054213682,32.5,-0.008844159804818563,106.27,-0.0019722013523667536,83.25,0.0
2018-07-23 04:00:00+00:00,27.93,0.013425253991291797,73.99,-0.00604513702310594,32.41,-0.002769230769230857,105.9,-0.003481697562811581,83.2,-0.0006006006006005205
2018-07-24 04:00:00+00:00,28.02,0.0032223415682062218,74.32,0.004460062170563495,32.32,-0.002776920703486452,106.05,0.0014164305949007083,83.21,0.00012019230769211298
2018-07-25 04:00:00+00:00,28.1,0.002855103497501954,75.42,0.014800861141011978,32.64,0.00990099009900991,106.06,9.429514380010495e-05,83.18,-0.0003605335897126638
2018-07-26 04:00:00+00:00,28.06,-0.00142348754448407,76.0,0.007690267833465825,32.75,0.00337009803921573,106.0,-0.0005657175183858554,83.18,0.0
2018-07-27 04:00:00+00:00,28.12,0.002138275124732747,76.01,0.00013157894736859355,32.45,-0.00916030534351131,106.08,0.0007547169811321641,83.19,0.00012022120702082084
2018-07-30 04:00:00+00:00,28.13,0.00035561877667134034,75.26,-0.009867122747006962,32.42,-0.0009244992295840415,105.97,-0.001036953242835592,83.19,0.0
2018-07-31 04:00:00+00:00,27.95,-0.006398862424457863,76.91,0.021923996811054947,33.05,0.019432449105490246,106.06,0.000849296970840907,83.19,0.0
